match_no,inning,over,ball,batsman,bowler,is_wicket,dismissal_type,fielder,batsman_run,extra_run,total_run,extra_type
1,1,0,1,Rohit Sharma,Mohammed Siraj,0,,,2,0,2,
1,1,0,2,Rohit Sharma,Mohammed Siraj,0,,,0,0,0,
1,1,0,3,Rohit Sharma,Mohammed Siraj,0,,,0,0,0,
1,1,0,4,Rohit Sharma,Mohammed Siraj,0,,,2,0,2,
1,1,0,5,Rohit Sharma,Mohammed Siraj,0,,,0,0,0,
1,1,0,6,Rohit Sharma,Mohammed Siraj,0,,,1,0,1,
1,1,1,1,Rohit Sharma,KA Jamieson,0,,,1,0,1,
1,1,1,2,CA Lynn,KA Jamieson,0,,,0,0,0,
1,1,1,3,CA Lynn,KA Jamieson,0,,,0,0,0,
1,1,1,4,CA Lynn,KA Jamieson,0,,,0,0,0,
1,1,1,5,CA Lynn,KA Jamieson,0,,,0,0,0,
1,1,1,6,CA Lynn,KA Jamieson,0,,,0,0,0,
1,1,2,1,Rohit Sharma,Mohammed Siraj,0,,,0,0,0,
1,1,2,2,Rohit Sharma,Mohammed Siraj,0,,,0,0,0,
1,1,2,3,Rohit Sharma,Mohammed Siraj,0,,,0,0,0,
1,1,2,4,Rohit Sharma,Mohammed Siraj,0,,,0,0,0,
1,1,2,5,Rohit Sharma,Mohammed Siraj,0,,,4,0,4,
1,1,2,6,Rohit Sharma,Mohammed Siraj,0,,,2,0,2,
1,1,3,1,CA Lynn,Yuzvendra Chahal,0,,,0,0,0,
1,1,3,2,CA Lynn,Yuzvendra Chahal,0,,,4,0,4,
1,1,3,3,CA Lynn,Yuzvendra Chahal,0,,,1,0,1,
1,1,3,4,Rohit Sharma,Yuzvendra Chahal,0,,,6,0,6,
1,1,3,5,Rohit Sharma,Yuzvendra Chahal,0,,,1,0,1,
1,1,3,6,CA Lynn,Yuzvendra Chahal,1,runout,Yuzvendra Chahal / Virat Kohli,0,0,0,
1,1,4,1,SA Yadav,KA Jamieson,0,,,4,0,4,
1,1,4,2,SA Yadav,KA Jamieson,0,,,0,0,0,
1,1,4,3,SA Yadav,KA Jamieson,0,,,1,0,1,
1,1,4,4,CA Lynn,KA Jamieson,0,,,1,0,1,
1,1,4,5,SA Yadav,KA Jamieson,0,,,0,0,0,
1,1,4,6,SA Yadav,KA Jamieson,0,,,0,0,0,
1,1,5,1,CA Lynn,Yuzvendra Chahal,0,,,0,0,0,
1,1,5,2,CA Lynn,Yuzvendra Chahal,0,,,6,0,6,
1,1,5,3,CA Lynn,Yuzvendra Chahal,0,,,0,0,0,
1,1,5,4,CA Lynn,Yuzvendra Chahal,0,,,1,0,1,
1,1,5,5,SA Yadav,Yuzvendra Chahal,0,,,0,0,0,
1,1,5,6,SA Yadav,Yuzvendra Chahal,0,,,4,0,4,
1,1,6,1,CA Lynn,Shahbaz Ahmed,0,,,1,0,1,
1,1,6,2,SA Yadav,Shahbaz Ahmed,0,,,1,0,1,
1,1,6,3,CA Lynn,Shahbaz Ahmed,0,,,4,0,4,
1,1,6,4,CA Lynn,Shahbaz Ahmed,0,,,6,0,6,
1,1,6,5,CA Lynn,Shahbaz Ahmed,0,,,1,0,1,
1,1,6,6,SA Yadav,Shahbaz Ahmed,0,,,1,0,1,
1,1,7,1,CA Lynn,HV Patel,0,,,6,0,6,
1,1,7,1,SA Yadav,HV Patel,0,,,1,1,2,NB
1,1,7,2,CA Lynn,HV Patel,0,,,1,0,1,
1,1,7,3,SA Yadav,HV Patel,0,,,0,0,0,
1,1,7,4,SA Yadav,HV Patel,0,,,4,0,4,
1,1,7,5,SA Yadav,HV Patel,0,,,1,0,1,
1,1,7,6,CA Lynn,HV Patel,0,,,1,0,1,
1,1,8,1,CA Lynn,DT Christian,0,,,1,0,1,
1,1,8,2,SA Yadav,DT Christian,0,,,4,0,4,
1,1,8,3,SA Yadav,DT Christian,0,,,1,0,1,
1,1,8,4,CA Lynn,DT Christian,0,,,2,0,2,
1,1,8,5,CA Lynn,DT Christian,0,,,4,0,4,
1,1,8,5,CA Lynn,DT Christian,0,,,0,1,1,wide
1,1,8,6,CA Lynn,DT Christian,0,,,0,0,0,
1,1,9,1,SA Yadav,Yuzvendra Chahal,0,,,0,0,0,
1,1,9,2,SA Yadav,Yuzvendra Chahal,0,,,1,0,1,
1,1,9,3,CA Lynn,Yuzvendra Chahal,0,,,1,0,1,
1,1,9,4,SA Yadav,Yuzvendra Chahal,0,,,1,0,1,
1,1,9,5,CA Lynn,Yuzvendra Chahal,0,,,0,0,0,
1,1,9,6,CA Lynn,Yuzvendra Chahal,0,,,0,0,0,
1,1,10,1,SA Yadav,KA Jamieson,0,,,1,0,1,
1,1,10,2,CA Lynn,KA Jamieson,0,,,1,0,1,
1,1,10,3,SA Yadav,KA Jamieson,0,,,0,0,0,
1,1,10,4,SA Yadav,KA Jamieson,0,,,6,0,6,
1,1,10,5,SA Yadav,KA Jamieson,0,,,0,0,0,
1,1,10,6,SA Yadav,KA Jamieson,1,caught,AB de Villiers,0,0,0,
1,1,11,1,CA Lynn,Mohammed Siraj,0,,,1,0,1,
1,1,11,2,Ishan Kishan,Mohammed Siraj,0,,,0,0,0,
1,1,11,3,Ishan Kishan,Mohammed Siraj,0,,,1,0,1,
1,1,11,4,CA Lynn,Mohammed Siraj,0,,,0,0,0,
1,1,11,5,CA Lynn,Mohammed Siraj,0,,,1,0,1,
1,1,11,6,Ishan Kishan,Mohammed Siraj,0,,,1,0,1,
1,1,12,1,Ishan Kishan,Washington Sundar,0,,,1,0,1,
1,1,12,2,CA Lynn,Washington Sundar,0,,,4,0,4,
1,1,12,3,CA Lynn,Washington Sundar,0,,,1,0,1,
1,1,12,4,Ishan Kishan,Washington Sundar,0,,,1,0,1,
1,1,12,5,CA Lynn,Washington Sundar,1,caught,Washington Sundar,0,0,0,
1,1,12,6,Ishan Kishan,Washington Sundar,0,,,0,0,0,
1,1,13,1,HH Pandya,Yuzvendra Chahal,0,,,1,0,1,
1,1,13,2,Ishan Kishan,Yuzvendra Chahal,0,,,2,0,2,
1,1,13,3,Ishan Kishan,Yuzvendra Chahal,0,,,6,0,6,
1,1,13,4,Ishan Kishan,Yuzvendra Chahal,0,,,4,0,4,
1,1,13,5,Ishan Kishan,Yuzvendra Chahal,0,,,1,0,1,
1,1,13,6,HH Pandya,Yuzvendra Chahal,0,,,1,0,1,
1,1,14,1,HH Pandya,DT Christian,0,,,0,0,0,
1,1,14,2,HH Pandya,DT Christian,0,,,4,0,4,
1,1,14,3,HH Pandya,DT Christian,0,,,0,0,0,
1,1,14,4,HH Pandya,DT Christian,0,,,1,0,1,
1,1,14,5,Ishan Kishan,DT Christian,0,,,2,0,2,
1,1,14,6,Ishan Kishan,DT Christian,0,,,1,0,1,
1,1,15,1,Ishan Kishan,HV Patel,0,,,0,0,0,
1,1,15,2,Ishan Kishan,HV Patel,0,,,1,0,1,
1,1,15,3,HH Pandya,HV Patel,0,,,2,0,2,
1,1,15,4,HH Pandya,HV Patel,0,,,4,0,4,
1,1,15,5,HH Pandya,HV Patel,0,,,0,0,0,
1,1,15,6,HH Pandya,HV Patel,1,lbw,,0,0,0,
1,1,16,1,Ishan Kishan,Mohammed Siraj,0,,,4,0,4,
1,1,16,1,Ishan Kishan,Mohammed Siraj,0,,,0,1,1,wide
